 ,Area,X,Y,IntDen,RawIntDen,Slice
1,0,87.928,86.591,150,150,1
2,0,109.325,30.758,1,1,1
3,0,1.003,1.337,124,124,1
4,0,88.597,86.591,152,152,2
5,0,110.328,36.107,6,6,2
6,0,1.003,1.003,123,123,2
7,0,88.263,86.925,152,152,3
8,0,109.660,35.104,5,5,3
9,0,0.334,1.337,124,124,3
10,0,88.931,86.925,150,150,4
11,0,110.997,33.767,2,2,4
12,0,1.337,0.669,124,124,4
13,0,88.263,86.257,150,150,5
14,0,111.331,35.439,3,3,5
15,0,0.334,1.672,124,124,5
16,0,88.263,86.257,150,150,6
17,0,88.263,86.257,150,150,6
18,0,109.325,35.104,3,3,6
19,0,1.337,1.337,124,124,6
20,0,88.597,86.591,150,150,7
21,0,111.331,37.779,2,2,7
22,0,0.669,1.337,124,124,7
23,0,88.597,86.925,150,150,8
24,0,111.666,51.152,34,34,8
25,0,1.672,1.672,127,127,8
26,0,88.263,86.591,150,150,9
27,0,110.663,53.493,35,35,9
28,0,1.337,2.006,127,127,9
29,0,88.931,86.591,151,151,10
30,0,110.663,46.472,17,17,10
31,0,1.672,1.003,124,124,10
32,0,88.597,87.260,161,161,11
33,0,112.334,43.463,8,8,11
34,0,1.337,1.672,124,124,11
35,0,87.928,86.591,150,150,12
36,0,111.331,41.122,10,10,12
37,0,1.337,1.672,124,124,12
38,0,88.263,86.591,150,150,13
39,0,111.666,42.460,12,12,13
40,0,1.337,2.006,124,124,13
41,0,89.266,86.925,136,136,14
42,0,110.328,40.788,23,23,14
43,0,1.003,2.006,123,123,14
44,0,87.928,86.925,158,158,15
45,0,113.003,44.800,13,13,15
46,0,1.003,1.337,127,127,15
47,0,88.263,87.594,154,154,16
48,0,111.666,46.137,19,19,16
49,0,1.003,1.672,127,127,16
50,0,87.928,87.260,171,171,17
51,0,111.331,50.484,28,28,17
52,0,1.337,1.337,124,124,17
53,0,88.931,86.925,150,150,18
54,0,112.334,44.131,10,10,18
55,0,1.672,2.006,124,124,18
56,0,88.597,87.260,152,152,19
57,0,111.666,45.469,16,16,19
58,0,2.006,2.340,124,124,19
59,0,88.931,87.594,145,145,20
60,0,110.663,46.806,37,37,20
61,0,1.337,2.340,124,124,20
62,0,88.931,86.591,147,147,21
63,0,111.666,43.797,20,20,21
64,0,1.337,1.672,126,126,21
65,0,88.597,87.928,151,151,22
66,0,112.334,40.454,23,23,22
67,0,112.334,40.454,23,23,22
68,0,0.669,1.337,126,126,22
69,0,88.931,86.925,145,145,23
70,0,111.331,29.755,7,7,23
71,0,2.006,2.340,126,126,23
72,0,89.266,86.257,138,138,24
73,0,1.337,1.672,126,126,24
74,0,1.337,1.672,126,126,24
75,0,89.266,86.257,136,136,25
76,0,1.337,1.672,123,123,25
77,0,1.337,1.672,123,123,25
78,0,89.266,86.591,136,136,26
79,0,1.337,2.006,123,123,26
80,0,1.337,2.006,123,123,26
81,0,89.266,88.931,149,149,27
82,0,2.006,1.672,122,122,27
83,0,2.006,1.672,122,122,27
84,0,88.931,85.922,147,147,28
85,0,1.672,1.672,124,124,28
86,0,1.672,1.672,124,124,28
87,0,88.263,86.591,149,149,29
88,0,1.003,1.672,124,124,29
89,0,1.003,1.672,124,124,29
90,0,88.931,87.594,152,152,30
91,0,1.003,1.672,127,127,30
92,0,88.931,86.591,149,149,31
93,0,1.337,2.006,126,126,31
94,0,1.337,2.006,126,126,31
95,0,88.597,87.260,156,156,32
96,0,1.003,2.006,127,127,32
97,0,1.003,2.006,127,127,32
98,0,88.597,87.594,157,157,33
99,0,1.337,2.340,126,126,33
100,0,1.337,2.340,126,126,33
101,0,89.600,87.260,143,143,34
102,0,1.672,2.006,126,126,34
103,0,1.672,2.006,126,126,34
104,0,88.931,86.925,151,151,35
105,0,1.337,1.672,123,123,35
106,0,1.337,1.672,123,123,35
107,0,88.931,86.257,151,151,36
108,0,1.672,2.006,124,124,36
109,0,1.672,2.006,124,124,36
110,0,89.266,86.591,140,140,37
111,0,1.672,1.672,123,123,37
112,0,1.672,1.672,123,123,37
113,0,87.928,87.260,166,166,38
114,0,1.672,2.006,124,124,38
115,0,1.672,2.006,124,124,38
116,0,89.266,87.260,142,142,39
117,0,2.006,2.675,124,124,39
118,0,2.006,2.675,124,124,39
119,0,88.597,86.257,148,148,40
120,0,1.672,1.672,124,124,40
121,0,1.672,1.672,124,124,40
122,0,88.597,86.591,149,149,41
123,0,1.672,1.672,124,124,41
124,0,1.672,1.672,124,124,41
125,0,88.597,86.257,147,147,42
126,0,1.672,2.006,127,127,42
127,0,1.672,2.006,127,127,42
128,0,88.931,86.591,149,149,43
129,0,1.672,1.672,124,124,43
130,0,1.672,1.672,124,124,43
131,0,88.931,85.922,144,144,44
132,0,1.337,2.006,126,126,44
133,0,1.337,2.006,126,126,44
134,0,87.928,85.922,149,149,45
135,0,2.006,2.006,124,124,45
136,0,2.006,2.006,124,124,45
137,0,88.263,87.594,151,151,46
138,0,1.672,2.340,124,124,46
139,0,1.672,2.340,124,124,46
140,0,88.931,86.591,148,148,47
141,0,1.672,1.672,124,124,47
142,0,1.672,1.672,124,124,47
143,0,88.263,86.591,149,149,48
144,0,1.337,1.337,124,124,48
145,0,1.337,1.337,124,124,48
146,0,88.597,85.922,144,144,49
147,0,1.672,1.672,124,124,49
148,0,1.672,1.672,124,124,49
149,0,88.263,86.257,150,150,50
150,0,2.340,2.675,124,124,50
151,0,2.340,2.675,124,124,50
152,0,88.263,86.925,152,152,51
153,0,2.006,2.006,124,124,51
154,0,2.006,2.006,124,124,51
155,0,88.263,85.922,145,145,52
156,0,1.337,1.672,126,126,52
157,0,1.337,1.672,126,126,52
158,0,89.600,86.925,141,141,53
159,0,2.006,2.006,126,126,53
160,0,2.006,2.006,126,126,53
161,0,88.931,86.591,149,149,54
162,0,2.006,2.006,126,126,54
163,0,2.006,2.006,126,126,54
164,0,88.597,87.594,150,150,55
165,0,1.337,1.672,126,126,55
166,0,1.337,1.672,126,126,55
167,0,88.263,86.257,150,150,56
168,0,1.672,2.340,123,123,56
169,0,1.672,2.340,123,123,56
170,0,88.263,86.257,152,152,57
171,0,1.672,1.672,124,124,57
172,0,1.672,1.672,124,124,57
173,0,89.266,85.254,137,137,58
174,0,2.006,3.009,124,124,58
175,0,2.006,3.009,124,124,58
176,0,88.931,87.260,157,157,59
177,0,1.672,2.006,126,126,59
178,0,1.672,2.006,126,126,59
179,0,88.931,85.922,147,147,60
180,0,1.672,1.337,124,124,60
181,0,1.672,1.337,124,124,60
182,0,88.263,85.922,145,145,61
183,0,1.672,1.672,126,126,61
184,0,1.672,1.672,126,126,61
185,0,88.263,86.925,152,152,62
186,0,1.672,2.340,126,126,62
187,0,1.672,2.340,126,126,62
188,0,87.928,86.591,152,152,63
189,0,1.003,1.337,126,126,63
190,0,1.003,1.337,126,126,63
191,0,88.263,85.922,145,145,64
192,0,2.006,1.672,126,126,64
193,0,2.006,1.672,126,126,64
194,0,88.597,85.922,138,138,65
195,0,1.337,1.672,124,124,65
196,0,1.337,1.672,124,124,65
197,0,87.594,86.257,152,152,66
198,0,113.337,28.418,21,21,66
199,0,0.669,1.337,126,126,66
200,0,88.931,86.257,151,151,67
201,0,110.997,27.749,26,26,67
202,0,1.337,1.337,126,126,67
203,0,89.266,86.591,140,140,68
204,0,107.988,35.104,16,16,68
205,0,1.337,1.003,126,126,68
206,0,88.931,84.919,143,143,69
207,0,109.994,38.448,16,16,69
208,0,1.672,1.672,126,126,69
209,0,88.597,86.591,149,149,70
210,0,113.003,37.779,10,10,70
211,0,0.669,1.337,126,126,70
212,0,89.266,86.257,144,144,71
213,0,110.663,38.113,7,7,71
214,0,1.672,1.337,123,123,71
215,0,89.266,85.588,142,142,72
216,0,112.000,43.128,28,28,72
